Start time:, 1647331307195166870
End time:, 1647331308045577516
Total time:, 850410646

Reaction Executions
Reactor, Reaction, Occurrences, Total Time, Pct Total Time, Avg Time, Max Time, Min Time
customers, 1, 12, 623, 0.000073, 51, 89, 35
customers, 2, 12, 634, 0.000075, 52, 86, 36
customers, 1, 12, 616, 0.000072, 51, 85, 34
customers, 2, 12, 626, 0.000074, 52, 85, 35
customers, 1, 12, 660, 0.000078, 55, 86, 36
customers, 2, 12, 622, 0.000073, 51, 87, 29
customers, 1, 12, 621, 0.000073, 51, 88, 29
customers, 2, 12, 621, 0.000073, 51, 88, 29
customers, 1, 12, 626, 0.000074, 52, 88, 34
customers, 2, 12, 626, 0.000074, 52, 86, 35
customers, 1, 12, 593, 0.000070, 49, 86, 28
customers, 2, 12, 651, 0.000077, 54, 107, 36
customers, 1, 12, 624, 0.000073, 52, 88, 28
customers, 2, 12, 623, 0.000073, 51, 85, 29
customers, 1, 12, 620, 0.000073, 51, 85, 28
customers, 2, 12, 623, 0.000073, 51, 88, 28
customers, 1, 12, 682, 0.000080, 56, 100, 36
customers, 2, 12, 631, 0.000074, 52, 88, 36
customers, 1, 12, 615, 0.000072, 51, 85, 28
customers, 2, 12, 616, 0.000072, 51, 88, 28
customers, 1, 12, 624, 0.000073, 52, 88, 35
customers, 2, 12, 629, 0.000074, 52, 85, 35
customers, 1, 12, 615, 0.000072, 51, 83, 34
customers, 2, 12, 610, 0.000072, 50, 88, 28
customers, 1, 12, 618, 0.000073, 51, 86, 34
customers, 2, 12, 609, 0.000072, 50, 88, 27
customers, 1, 12, 623, 0.000073, 51, 85, 34
customers, 2, 12, 628, 0.000074, 52, 85, 35
customers, 1, 12, 626, 0.000074, 52, 88, 27
customers, 2, 12, 622, 0.000073, 51, 85, 35
customers, 1, 12, 617, 0.000073, 51, 83, 34
customers, 2, 12, 626, 0.000074, 52, 85, 28
customers, 1, 12, 620, 0.000073, 51, 85, 29
customers, 2, 12, 620, 0.000073, 51, 87, 27
customers, 1, 12, 650, 0.000076, 54, 85, 29
customers, 2, 12, 622, 0.000073, 51, 86, 29
customers, 1, 12, 624, 0.000073, 52, 86, 35
customers, 2, 12, 628, 0.000074, 52, 88, 35
customers, 1, 12, 611, 0.000072, 50, 86, 28
customers, 2, 12, 621, 0.000073, 51, 88, 29
customers, 1, 12, 628, 0.000074, 52, 85, 35
customers, 2, 12, 629, 0.000074, 52, 85, 28
customers, 1, 12, 624, 0.000073, 52, 85, 35
customers, 2, 12, 611, 0.000072, 50, 85, 28
customers, 1, 12, 608, 0.000071, 50, 86, 27
customers, 2, 12, 584, 0.000069, 48, 86, 34
customers, 1, 12, 585, 0.000069, 48, 85, 35
customers, 2, 12, 572, 0.000067, 47, 85, 28
customers, 1, 12, 619, 0.000073, 51, 91, 35
customers, 2, 12, 574, 0.000067, 47, 85, 28
customers, 1, 12, 564, 0.000066, 47, 85, 28
customers, 2, 12, 580, 0.000068, 48, 86, 29
customers, 1, 12, 570, 0.000067, 47, 85, 35
customers, 2, 12, 587, 0.000069, 48, 86, 35
customers, 1, 12, 589, 0.000069, 49, 86, 35
customers, 2, 12, 578, 0.000068, 48, 85, 28
customers, 1, 12, 566, 0.000067, 47, 82, 35
customers, 2, 12, 560, 0.000066, 46, 85, 28
customers, 1, 12, 577, 0.000068, 48, 83, 28
customers, 2, 12, 580, 0.000068, 48, 88, 29
customers, 1, 12, 557, 0.000065, 46, 83, 28
customers, 2, 12, 570, 0.000067, 47, 85, 28
customers, 1, 12, 569, 0.000067, 47, 85, 27
customers, 2, 12, 575, 0.000068, 47, 88, 29
customers, 1, 12, 569, 0.000067, 47, 89, 29
customers, 2, 12, 564, 0.000066, 47, 88, 28
customers, 1, 12, 586, 0.000069, 48, 83, 34
customers, 2, 12, 625, 0.000073, 52, 90, 35
customers, 1, 12, 590, 0.000069, 49, 85, 35
customers, 2, 12, 579, 0.000068, 48, 88, 35
customers, 1, 12, 600, 0.000071, 50, 85, 27
customers, 2, 12, 594, 0.000070, 49, 88, 36
customers, 1, 12, 563, 0.000066, 46, 86, 28
customers, 2, 12, 580, 0.000068, 48, 87, 29
customers, 1, 12, 571, 0.000067, 47, 83, 35
customers, 2, 12, 573, 0.000067, 47, 88, 29
customers, 1, 12, 585, 0.000069, 48, 89, 36
customers, 2, 12, 595, 0.000070, 49, 88, 36
customers, 1, 12, 575, 0.000068, 47, 85, 28
customers, 2, 12, 589, 0.000069, 49, 88, 35
customers, 1, 12, 558, 0.000066, 46, 82, 28
customers, 2, 12, 582, 0.000068, 48, 88, 29
customers, 1, 12, 568, 0.000067, 47, 86, 28
customers, 2, 12, 579, 0.000068, 48, 86, 35
customers, 1, 12, 566, 0.000067, 47, 86, 29
customers, 2, 12, 578, 0.000068, 48, 86, 29
customers, 1, 12, 565, 0.000066, 47, 88, 27
customers, 2, 12, 578, 0.000068, 48, 88, 28
customers, 1, 12, 576, 0.000068, 48, 82, 34
customers, 2, 12, 576, 0.000068, 48, 88, 34
customers, 1, 12, 586, 0.000069, 48, 88, 35
customers, 2, 12, 584, 0.000069, 48, 88, 36
customers, 1, 12, 607, 0.000071, 50, 88, 35
customers, 2, 12, 564, 0.000066, 47, 82, 29
customers, 1, 12, 569, 0.000067, 47, 85, 35
customers, 2, 12, 575, 0.000068, 47, 88, 28
customers, 1, 12, 575, 0.000068, 47, 88, 35
customers, 2, 12, 576, 0.000068, 48, 87, 35
