Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay
Reaction ends, smokers, 0, 23, 0, 39, 1875298, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 40, 1875839, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 40, 1876133, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 40, 1877471, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 40, 1880557, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 41, 1881106, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 41, 1881386, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 41, 1882447, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 41, 1883018, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 42, 1883511, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 42, 1883799, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 42, 1884866, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 42, 1886370, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 43, 1886869, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 43, 1887143, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 43, 1888343, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 43, 1889650, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 44, 1890178, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 44, 1890455, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 44, 1891695, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 44, 1895650, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 45, 1896186, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 45, 1896456, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 45, 1897616, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 45, 1898181, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 46, 1898722, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 46, 1898994, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 46, 1900218, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 46, 1900856, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 47, 1901413, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 47, 1901680, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 47, 1902773, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 47, 1905642, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 48, 1906128, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 48, 1906400, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 48, 1907568, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 48, 1909954, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 49, 1913098, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 49, 1913394, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 49, 1914616, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 49, 1916336, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 50, 1916872, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 50, 1917133, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 50, 1918221, NO TRIGGER, 0
