Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay
Reaction ends, smokers, 0, 0, 0, 53, 532631, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 54, 533251, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 54, 533475, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 54, 533591, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 54, 534972, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 54, 538135, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 55, 538758, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 55, 538978, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 55, 539098, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 55, 540478, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 55, 545338, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 56, 545952, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 56, 546172, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 56, 546288, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 56, 547622, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 56, 552392, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 57, 552995, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 57, 553212, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 57, 553328, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 57, 554685, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 57, 556842, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 58, 557515, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 58, 557735, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 58, 561145, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 58, 562495, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 58, 565278, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 59, 565915, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 59, 566138, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 59, 566258, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 59, 567592, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 59, 572445, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 60, 573062, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 60, 573362, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 60, 573479, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 60, 574845, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 60, 579622, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 61, 580232, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 61, 580449, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 61, 580569, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 61, 582032, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 61, 583469, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 62, 584089, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 62, 584306, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 62, 584422, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 62, 585826, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 62, 587192, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 63, 587809, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 63, 588022, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 63, 588139, NO TRIGGER, 0
